epoch,phone_train_mse,phone_train_pcc,phone_test_mse,phone_test_pcc,learning rate,utt_train_mse_accuracy,utt_train_mse_completeness,utt_train_mse_fluency,utt_train_mse_prosodic,utt_train_mse_total,utt_train_pcc_accuracy,utt_train_pcc_completeness,utt_train_pcc_fluency,utt_train_pcc_prosodic,utt_train_pcc_total,utt_test_mse_accuracy,utt_test_mse_completeness,utt_test_mse_fluency,utt_test_mse_prosodic,utt_test_mse_total,utt_test_pcc_accuracy,utt_test_pcc_completeness,utt_test_pcc_fluency,utt_test_pcc_prosodic,utt_test_pcc_total,word_train_pcc_accuracy,word_train_pcc_stress,word_train_pcc_total,word_test_pcc_accuracy,word_test_pcc_stress,word_test_pcc_total
0.000000000000000000e+00,1.398262679576873779e-01,4.958307767261039833e-01,1.072591021656990051e-01,4.522936470064599090e-01,9.499999999999999981e-04,1.113319471478462219e-01,2.011449541896581650e-03,1.101252660155296326e-01,9.273199737071990967e-02,1.317949444055557251e-01,1.858682813820606849e-01,6.154289708785314061e-02,2.180908569800502628e-01,1.677811011202857625e-02,2.754843188778512836e-02,9.237820655107498169e-02,3.742649219930171967e-03,8.192672580480575562e-02,8.153749257326126099e-02,1.051118969917297363e-01,1.231196499633166325e-01,4.597985136821577945e-02,2.120931118086892830e-01,-4.324925932866865996e-02,-5.275933656182086977e-03,3.852124277928553053e-01,-5.378747584571130780e-02,-1.720887644517176407e-01,3.175615571374838519e-01,-3.455300588898814473e-02,-1.603079733496412806e-01
1.000000000000000000e+00,1.215191259980201721e-01,5.560122015785341487e-01,9.714405238628387451e-02,5.177687359664767675e-01,1.000000000000000021e-03,1.121306419372558594e-01,8.533496875315904617e-04,9.362344443798065186e-02,9.119268506765365601e-02,1.101327165961265564e-01,2.535136314491986398e-01,6.984376226488984984e-02,3.083593568274749508e-01,4.444466793983996994e-02,1.082744408856375212e-01,9.067261964082717896e-02,2.578778890892863274e-03,7.341975718736648560e-02,7.739738374948501587e-02,8.994275331497192383e-02,1.821017804367721926e-01,5.547993702384584197e-02,2.347009402786008059e-01,-2.265078641919624630e-02,5.701548601564052077e-02,5.401804879399463299e-01,5.721331047039519835e-02,4.794283576104430566e-01,4.699338395980695582e-01,4.181197105709988371e-02,4.076286326742954436e-01
2.000000000000000000e+00,1.155482307076454163e-01,5.948705486819552135e-01,9.355254471302032471e-02,5.599322323730734352e-01,1.000000000000000021e-03,1.062049940228462219e-01,6.498309667222201824e-04,9.267327934503555298e-02,8.892317116260528564e-02,1.073466464877128601e-01,3.822683215229943920e-01,6.047856421295630391e-02,3.329861822878429911e-01,1.813356205843529023e-01,2.999107179006301194e-01,9.214085340499877930e-02,2.384365070611238480e-03,7.576996088027954102e-02,7.965400069952011108e-02,9.294335544109344482e-02,2.968891868404999190e-01,4.446494448258630355e-02,2.417855763902843902e-01,8.401309968347643597e-02,2.127106433529095675e-01,5.897118536996469595e-01,1.351464169834616924e-01,5.753820921036211233e-01,5.173802833999811002e-01,8.879320354751805977e-02,5.013825945805012729e-01
3.000000000000000000e+00,1.020673885941505432e-01,6.506806906327285978e-01,8.022950589656829834e-02,6.161353338620905173e-01,1.000000000000000021e-03,6.939898431301116943e-02,7.566357962787151337e-04,7.458811998367309570e-02,6.823342293500900269e-02,6.520918011665344238e-02,6.475335635341812335e-01,-1.294524342532178164e-02,5.849263414393904847e-01,5.459251868508593342e-01,6.778511487736421648e-01,6.395938247442245483e-02,2.478814451023936272e-03,6.536629796028137207e-02,6.559762358665466309e-02,6.138404458761215210e-02,5.669100058955334198e-01,4.966631655448128929e-03,4.704137161180380056e-01,4.200487288113715634e-01,5.888796257876783846e-01,6.449666737371604341e-01,7.226065062068023903e-02,6.463529823075214731e-01,5.696120819147402203e-01,3.746749974632333086e-02,5.715684993752706555e-01
4.000000000000000000e+00,9.710672497749328613e-02,6.737471099016610898e-01,7.672628015279769897e-02,6.388123489094506002e-01,1.000000000000000021e-03,5.811880528926849365e-02,7.565109408460557461e-04,5.436372011899948120e-02,5.223332345485687256e-02,5.374374985694885254e-02,7.336586853004899433e-01,3.491575659495349537e-02,6.899512616823569866e-01,6.742462675267807404e-01,7.452591150526765018e-01,5.687275901436805725e-02,2.263735281303524971e-03,5.218975245952606201e-02,5.279775708913803101e-02,5.344860255718231201e-02,6.554184754355760756e-01,1.580536385659588317e-01,5.981703223164913652e-01,5.886529711063622772e-01,6.688999561194259869e-01,6.554331326200077967e-01,1.954193953357239721e-01,6.327481411622990493e-01,5.826412532865247185e-01,1.121897293460219214e-01,5.594012324925080604e-01
5.000000000000000000e+00,9.447141736745834351e-02,6.905761198743600726e-01,7.597549259662628174e-02,6.553477582090989628e-01,1.000000000000000021e-03,5.407983437180519104e-02,1.164222485385835171e-03,4.899667948484420776e-02,4.738865792751312256e-02,5.309531092643737793e-02,7.460566994940024399e-01,2.718232597648018167e-02,7.040689473540392429e-01,6.897903427320489778e-01,7.617876308657093309e-01,5.344867706298828125e-02,2.640453632920980453e-03,4.745798185467720032e-02,4.848352074623107910e-02,5.421937257051467896e-02,6.689405954867619908e-01,1.402829364130926681e-01,6.080371726224576001e-01,6.000853567394756061e-01,6.839251818168171626e-01,6.495889308880006263e-01,2.347457900699430611e-01,6.432200247724888520e-01,5.788351716967968796e-01,1.412626324058325333e-01,5.741628359930206482e-01
6.000000000000000000e+00,8.971151709556579590e-02,6.987548629964249747e-01,7.145060598850250244e-02,6.642960166074155515e-01,1.000000000000000021e-03,5.123012512922286987e-02,8.942041313275694847e-04,4.782954975962638855e-02,4.788679629564285278e-02,4.999781772494316101e-02,7.552562753208532653e-01,9.608782698422682622e-02,7.133171585370491341e-01,6.987077402579272567e-01,7.700632549996242471e-01,5.132537335157394409e-02,2.297266852110624313e-03,4.685258120298385620e-02,4.962266609072685242e-02,5.151400342583656311e-02,6.765470870614279653e-01,2.093580716360030347e-01,6.148817249405477137e-01,6.051631074566838908e-01,6.922637925654482327e-01,6.473057795439476347e-01,2.163718006965697216e-01,6.440939402479783915e-01,5.774259519780600147e-01,1.275687963954923176e-01,5.759396794857915003e-01
7.000000000000000000e+00,8.852498978376388550e-02,7.047161845089995325e-01,6.998125463724136353e-02,6.723141037555546706e-01,1.000000000000000021e-03,5.711570009589195251e-02,7.817549048922955990e-04,4.943333566188812256e-02,4.612456634640693665e-02,4.970535635948181152e-02,7.580917233492709961e-01,1.173891254910684745e-02,7.189539569163013732e-01,7.041822413921811075e-01,7.700571981836706881e-01,5.890106409788131714e-02,2.264954848214983940e-03,4.710622876882553101e-02,4.762622714042663574e-02,5.073534324765205383e-02,6.774772947123642863e-01,1.155106694730181488e-01,6.224984425553276024e-01,6.126492938461199911e-01,6.934912338348208083e-01,6.590643605993022902e-01,1.721895703477273609e-01,6.673226830425560419e-01,5.883682059514667717e-01,9.425986235887631737e-02,5.975379890138913241e-01
8.000000000000000000e+00,8.908153325319290161e-02,7.058831498378373981e-01,7.046167552471160889e-02,6.728816626426926684e-01,1.000000000000000021e-03,4.998656734824180603e-02,7.604574784636497498e-04,4.968570545315742493e-02,4.938976466655731201e-02,5.135778710246086121e-02,7.647513650852084677e-01,5.684906334492215857e-02,7.271396861275032375e-01,7.126043696891922741e-01,7.783118212747398568e-01,5.143674835562705994e-02,2.255100524052977562e-03,4.693026840686798096e-02,5.078136175870895386e-02,5.276805162429809570e-02,6.830274956321841229e-01,1.600882130727901975e-01,6.304627971153607957e-01,6.197795224709298223e-01,7.000929860127002025e-01,6.693950607453288404e-01,1.874095410412428553e-01,6.732063713846136999e-01,5.974610228092305242e-01,1.045225985851563760e-01,6.017112848418902926e-01
9.000000000000000000e+00,8.685341477394104004e-02,7.132468214054098476e-01,7.001588493585586548e-02,6.756215376314462784e-01,1.000000000000000021e-03,4.710309952497482300e-02,8.769084815867245197e-04,4.487786069512367249e-02,4.374740645289421082e-02,4.390550032258033752e-02,7.733792288732485032e-01,4.554452730971474822e-02,7.327614670234527949e-01,7.182687691609478398e-01,7.837837428736466050e-01,4.832429438829421997e-02,2.414620481431484222e-03,4.503831639885902405e-02,4.679166898131370544e-02,4.656172171235084534e-02,6.910218177558140606e-01,1.248828230197166905e-01,6.294204563649791195e-01,6.176019258439379156e-01,7.002996771605339843e-01,6.663234459102420626e-01,2.068570818107638432e-01,6.752991495988169834e-01,5.921289359991164236e-01,1.268896891124499937e-01,6.018778364247803214e-01
